Nom,Ville,Departement,latitude,Adresse,longitude,Catégorie,Intérêt,N_Département
Musée de la poterie,Betschdorf,Bas-Rhin,48.893267534,2 rue de Kuhlendorf,7.924354174,Musée,Maison à pans de bois du début du XVIIIe siècle.,67
Musée de la poterie,Betschdorf,Bas-Rhin,48.893267534,2 rue de Kuhlendorf,7.924354174,Musée,Maison à pans de bois du début du XVIIIe siècle.,67
Musée de la poterie,Betschdorf,Bas-Rhin,48.893267534,2 rue de Kuhlendorf,7.924354174,Musée,Maison à pans de bois du début du XVIIIe siècle.,67
Musée de la poterie,Betschdorf,Bas-Rhin,48.893267534,2 rue de Kuhlendorf,7.924354174,Musée,Maison à pans de bois du début du XVIIIe siècle.,67
Musée des arts décoratifs,Strasbourg,Bas-Rhin,48.571265,2 place du château,7.767760376,Musée,"Palais Rohan, construit de 1739 à 1742 par Robert de Cotte pour le cardinal Armand Gaston de Rohan-Soubise. De style classique, le palais est édifié selon l'ordonnance habituelle de l'hôtel parisien entre cour et jardin.",67
Musée des beaux-arts,Strasbourg,Bas-Rhin,48.571265,2 place du château,7.767760376,Musée,"Palais Rohan, construit de 1739 à 1742 par Robert de Cotte pour le cardinal Armand Gaston de Rohan-Soubise. De style classique, le palais est édifié selon l'ordonnance habituelle de l'hôtel parisien entre cour et jardin.",67
Musée d'art moderne et contemporain de strasbourg,Strasbourg,Bas-Rhin,48.571265,1 place Hans Jean Arp,7.767760376,Musée,"Conçu par les Ateliers d'architecture AFA, Adrien Fainsilber et Associés, le bâtiment du MAMCS s’organise autour d’une vaste nef. Cette véritable ""rue intérieure"" distribue plusieurs espaces au rez-de-chaussée : le parcours d’art moderne, la salle dédiée à l’œuvre de Gustave Doré, le cabinet d’Arts Graphiques et de Photographie, une grande salle d’exposition, un auditorium, une librairie-boutique et la bibliothèque. À l’étage, où se tient un restaurant, quatre grandes salles successives sont dédiées à la présentation des collections permanentes d’art contemporain. Près de 5.000 m² sont ainsi consacrés à la présentation des œuvres.",67
Musée archéologique,Strasbourg,Bas-Rhin,48.571265,2 place du château,7.767760376,Musée,"Palais Rohan, construit de 1739 à 1742 par Robert de Cotte pour le cardinal Armand Gaston de Rohan-Soubise. De style classique, le palais est édifié selon l'ordonnance habituelle de l'hôtel parisien entre cour et jardin.",67
Musée historique,Strasbourg,Bas-Rhin,48.571265,2 rue du vieux marché aux poissons,7.767760376,Musée,Ancienne Boucherie de 1588.,67
Musée zoologique de l'université louis pasteur et de la ville de strasbourg,Strasbourg,Bas-Rhin,48.571265,29 boulevard de la Victoire,7.767760376,Musée,Architecture allemande de la fin du XIXe siècle - Neustadt,67
Musée tomi ungerer,Strasbourg,Bas-Rhin,48.571265,2 avenue de la Marseillaise,7.767760376,Musée,0,67
Musée alsacien,Strasbourg,Bas-Rhin,48.571265,23 quai Saint-Nicolas,7.767760376,Musée,Anciennes demeures strasbourgeoises reliées par des escaliers et des coursives en bois.,67
Musée gallo-romain,Biesheim,Haut-Rhin,48.050251508,place de la mairie,7.536903604,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,47.973507841,place de la mairie,7.481976256,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,47.978014606,place de la mairie,7.60630247,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,47.961667971,place de la mairie,7.546233229,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.017961141,place de la mairie,7.527779215,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.02388666,place de la mairie,7.545083239,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.003216164,place de la mairie,7.550155226,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.007465443,place de la mairie,7.456915384,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,47.986039938,place de la mairie,7.555835179,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.003097475,place de la mairie,7.497604831,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.028074364,place de la mairie,7.496836408,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée gallo-romain,Biesheim,Haut-Rhin,48.010655215,place de la mairie,7.584858583,Musée,Bâtiment réalisé en 1991 par le cabinet Mongiello & Plisson architectes à Colmar.,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.050251508,porte de Belfort,7.536903604,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,47.973507841,porte de Belfort,7.481976256,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,47.978014606,porte de Belfort,7.60630247,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,47.961667971,porte de Belfort,7.546233229,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.017961141,porte de Belfort,7.527779215,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.02388666,porte de Belfort,7.545083239,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.003216164,porte de Belfort,7.550155226,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.007465443,porte de Belfort,7.456915384,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,47.986039938,porte de Belfort,7.555835179,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.003097475,porte de Belfort,7.497604831,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.028074364,porte de Belfort,7.496836408,Musée,Porte de Belfort,68
Musée vauban,Neuf-Brisach,Haut-Rhin,48.010655215,porte de Belfort,7.584858583,Musée,Porte de Belfort,68
Musée d'art et d'archéologie du périgord,Périgueux,Dordogne,45.191871004,22 cours Tourny,0.711928958,Musée,"Le bâtiment actuel a été réalisé suite à un concours en 1893 et construit de 1895 à 1898, pour être un musée-bibliothèque. Il est caractéristique des musées de la Troisième république.",24
Musée militaire - souvenirs du périgord,Périgueux,Dordogne,45.191871004,32 rue des Farges,0.711928958,Musée,0,24
Musée gallo-romain de vesunna,Périgueux,Dordogne,45.191871004,20 rue du 26e régiment d'infanterie,0.711928958,Musée,"Architecture de Jean Nouvel sur les vestiges archéologiques d'une demeure gallo-romaine, à proximité de la Tour de Vésone, monument majeur de la ville antique de Périgueux.",24
Musée des sapeurs-pompiers de lyon,Lyon,Rhône,45.782642013,358 avenue de Champagne,4.8087826,Musée,0,69
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.903704024,9 rue Jeanne d'Arc,7.621311735,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.893277178,9 rue Jeanne d'Arc,7.645642456,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,49.009686,9 rue Jeanne d'Arc,7.640759508,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,49.009686,9 rue Jeanne d'Arc,7.640759508,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.907357758,9 rue Jeanne d'Arc,7.682391042,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.907357758,9 rue Jeanne d'Arc,7.682391042,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.991662552,9 rue Jeanne d'Arc,7.695608786,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.991662552,9 rue Jeanne d'Arc,7.695608786,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.907357758,9 rue Jeanne d'Arc,7.682391042,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.963788306,9 rue Jeanne d'Arc,7.639690362,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.937513108,9 rue Jeanne d'Arc,7.675899966,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.937513108,9 rue Jeanne d'Arc,7.675899966,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.907357758,9 rue Jeanne d'Arc,7.682391042,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.937865017,9 rue Jeanne d'Arc,7.596382789,Musée,0,67
Musée historique et industriel - musée du fer,Reichshoffen,Bas-Rhin,48.915951697,9 rue Jeanne d'Arc,7.580367518,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.903704024,44 avenue Foch,7.621311735,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.893277178,44 avenue Foch,7.645642456,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,49.009686,44 avenue Foch,7.640759508,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,49.009686,44 avenue Foch,7.640759508,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.907357758,44 avenue Foch,7.682391042,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.907357758,44 avenue Foch,7.682391042,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.991662552,44 avenue Foch,7.695608786,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.991662552,44 avenue Foch,7.695608786,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.907357758,44 avenue Foch,7.682391042,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.963788306,44 avenue Foch,7.639690362,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.937513108,44 avenue Foch,7.675899966,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.937513108,44 avenue Foch,7.675899966,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.907357758,44 avenue Foch,7.682391042,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.937865017,44 avenue Foch,7.596382789,Musée,0,67
Maison de l'archéologie des vosges du nord,Niederbronn-Les-Bains,Bas-Rhin,48.915951697,44 avenue Foch,7.580367518,Musée,0,67
Musée sundgauvien,Altkirch,Haut-Rhin,47.581454766,1 rue de l'hôtel de ville,7.38685758,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.622745583,1 rue de l'hôtel de ville,7.195046745,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.641848716,1 rue de l'hôtel de ville,7.316250274,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.620621354,1 rue de l'hôtel de ville,7.301055773,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.621012196,1 rue de l'hôtel de ville,7.244552802,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.642633917,1 rue de l'hôtel de ville,7.231959175,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.595288061,1 rue de l'hôtel de ville,7.353492715,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.623525076,1 rue de l'hôtel de ville,7.323348452,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
Musée sundgauvien,Altkirch,Haut-Rhin,47.5988775,1 rue de l'hôtel de ville,7.336289278,Musée,"Hôtel Renaissance adossé à l'hôtel de ville, somptueuse résidence des anciens baillis de la seigneurie. des Habsbourg. La tourelle qui orne son côté droit renferme un escalier à vis construit hors d’œuvre, éclairé par des fenêtres losangées. La tourelle est couronnée d’un toit à impériale et d’une girouette qui porte la date de 1472. Les autres fenêtres du musée sont à meneaux, éléments structurels verticaux, ici en pierre de taille, qui en divisent la baie. La toiture de l’édifice est couverte de tuiles vernissées de couleur. La cour du musée surplombe les remparts intérieurs d’Altkirch et offre une jolie vue sur les maisons adossées sur les fondations des murs d’enceintes.",68
